features,importance
VIDEO_S5K4ECGX,0.0
DVB_SP887X,0.0
RADIO_TEA575X,0.0
DVB_ISL6421,0.0
RTL8723_COMMON,0.0
VIDEO_CX88_ENABLE_VP3054,0.0
VIDEO_MT9M111,0.0
RTLBTCOEXIST,0.0
VIDEO_CX88_VP3054,0.0
VIDEO_MT9P031,0.0
RTL8821AE,0.0
RTL8723BE,0.0
VIDEO_CX88_MPEG,0.0
VIDEO_MT9T001,0.0
RTL8188EE,0.0
VIDEO_TVAUDIO,0.0
VIDEO_MT9V032,0.0
VIDEO_TDA7432,0.0
VIDEO_SR030PC30,0.0
SND_SOC_DA732X,0.0
PPP_MULTILINK,0.0
SND_SOC_CS4265,0.0
NFT_QUEUE,0.0
SND_SOC_DA7210,0.0
TI_ADS1015,0.0
NFT_MASQ,0.0
PPPOATM,0.0
NFT_QUOTA,0.0
NFT_REDIR,0.0
PPPOE,0.0
SND_SOC_CS47L24,0.0
NFT_NAT,0.0
PPTP,0.0
SND_SOC_CS53L30,0.0
NFT_OBJREF,0.0
PPPOL2TP,0.0
SND_SOC_CS4349,0.0
SND_SOC_DA7218,0.0
NFT_SET_RBTREE,0.0
PPP_ASYNC,0.0
PPP_BSDCOMP,0.0
SND_SOC_CS42L42,0.0
NFT_SET_HASH,0.0
PPP_DEFLATE,0.0
SND_SOC_CS42L51_I2C,0.0
NFT_LIMIT,0.0
SND_SOC_CS42L52,0.0
ZLIB_DEFLATE,0.0
NFT_COUNTER,0.0
PPP_FILTER,0.0
SND_SOC_CS42L56,0.0
NFT_LOG,0.0
PPP_MPPE,0.0
SND_SOC_CS42L73,0.0
NFT_SET_BITMAP,0.0
SCSI_LOWLEVEL_PCMCIA,0.0
PXA168_ETH,0.0
LEDS_TRIGGER_BACKLIGHT,0.0
MAC802154,0.0
MTD_BLOCK2MTD,0.0
LEDS_TRIGGER_CPU,0.0
SKGE,0.0
NFT_REJECT,0.0
LEDS_TRIGGER_GPIO,0.0
NFT_REJECT_INET,0.0
USB_GADGET_DEBUG_FILES,0.0
CRYPTO_CCM,0.0
MTD_DOCG3,0.0
SKGE_DEBUG,0.0
LEDS_TRIGGER_DEFAULT_ON,0.0
CRYPTO_CTR,0.0
SLIP_COMPRESSED,0.0
NFT_COMPAT,0.0
GENWQE,0.0
SND_SOC_DIO2125,0.0
SCSI_PM8001,0.0
LEDS_TRIGGER_TIMER,0.0
IEEE802154,0.0
SCSI_BFA_FC,0.0
IEEE802154_6LOWPAN,0.0
LEDS_TRIGGER_ONESHOT,0.0
IEEE802154_NL802154_EXPERIMENTAL,0.0
ECHO,0.0
SCSI_VIRTIO,0.0
IEEE802154_SOCKET,0.0
SCSI_CHELSIO_FCOE,0.0
MVPP2,0.0
LEDS_TRIGGER_HEARTBEAT,0.0
MVNETA,0.0
RTLWIFI,0.0
VIDEO_CX88_DVB,0.0
VIDEO_OV5647,0.0
SND_SOC_DA9055,0.0
RTLWIFI_PCI,0.0
SLIP,0.0
VIDEO_OV9650,0.0
NET_SCHED,0.0
RTL8192SE,0.0
VIDEO_OV13858,0.0
DVB_NXT200X,0.0
RTL8192DE,0.0
VIDEO_VS6624,0.0
DVB_CX24123,0.0
RTL8723AE,0.0
VIDEO_MT9M032,0.0
DVB_OR51132,0.0
SKGE_GENESIS,0.0
LEDS_TRIGGER_TRANSIENT,0.0
BCH,0.0
NET_SCH_FIFO,0.0
IDE,0.0
SKY2,0.0
LEDS_TRIGGER_CAMERA,0.0
BCH_CONST_PARAMS,0.0
VIDEO_OV5645,0.0
IDE_XFER_MODE,0.0
SKY2_DEBUG,0.0
LEDS_TRIGGER_PANIC,0.0
RTL8192CE,0.0
VIDEO_CX88_ALSA,0.0
VIDEO_OV5640,0.0
RTL8192C_COMMON,0.0
VIDEO_CX88_BLACKBIRD,0.0
NET_SCH_CBQ,0.0
ATM_ENI_BURST_TX_8W,0.0
LXT_PHY,0.0
MFD_CROS_EC,0.0
PNP,0.0
MARVELL_10G_PHY,0.0
KEYBOARD_CAP11XX,0.0
MTD_LATCH_ADDR,0.0
ATM_ENI_BURST_TX_2W,0.0
CACHEFILES_HISTOGRAM,0.0
KEYBOARD_BCM,0.0
FB_GEODE,0.0
MTD_PMC551,0.0
ATM_ENI_BURST_RX_16W,0.0
MICREL_PHY,0.0
INPUT_MOUSE,0.0
FB_GEODE_LX,0.0
ACPI_DEBUGGER,0.0
MESON_GXL_PHY,0.0
HAVE_KVM_MSI,0.0
UDF_FS,0.0
NFT_RT,0.0
6LOWPAN_NHC_IPV6,0.0
JME,0.0
TYPEC_TCPCI,0.0
HAVE_KVM_CPU_RELAX_INTERCEPT,0.0
NFT_NUMGEN,0.0
UDF_NLS,0.0
TYPEC_FUSB302,0.0
KVM_VFIO,0.0
NFT_CT,0.0
6LOWPAN_NHC_ROUTING,0.0
DRM_VBOXVIDEO,0.0
ATM_ENI_BURST_TX_16W,0.0
LSI_ET1011C_PHY,0.0
KEYBOARD_CROS_EC,0.0
PINCTRL_BERLIN,0.0
6LOWPAN_NHC_MOBILITY,0.0
ACPI_SLEEP,0.0
ATM_FIRESTREAM,0.0
REALTEK_PHY,0.0
MOUSE_PS2_SYNAPTICS,0.0
SPI_MASTER,0.0
ACPI_PROCFS_POWER,0.0
MTD_DATAFLASH_WRITE_VERIFY,0.0
ATM_ZATM,0.0
MTD_PMC551_BUGFIX,0.0
MOUSE_PS2_SYNAPTICS_SMBUS,0.0
ACPI_REV_OVERRIDE_POSSIBLE,0.0
MTD_DATAFLASH_OTP,0.0
TERANETICS_PHY,0.0
MOUSE_PS2_SMBUS,0.0
ACPI_EC_DEBUGFS,0.0
MTD_M25P80,0.0
ATM_ZATM_DEBUG,0.0
STE10XP,0.0
MICROCHIP_PHY,0.0
MOUSE_PS2,0.0
FB_GEODE_GX,0.0
ACPI_DEBUG,0.0
MTD_PMC551_DEBUG,0.0
ATM_ENI_BURST_RX_8W,0.0
MICROSEMI_PHY,0.0
MOUSE_PS2_ALPS,0.0
MOUSE_PS2_LOGIPS2PP,0.0
FAT_FS,0.0
ACPI_DEBUGGER_USER,0.0
ATM_ENI_BURST_RX_4W,0.0
NATIONAL_PHY,0.0
MOUSE_PS2_BYD,0.0
PINCTRL_BERLIN_BG4CT,0.0
MTD_DATAFLASH,0.0
ATM_ENI_BURST_RX_2W,0.0
QSEMI_PHY,0.0
FB_GEODE_GX1,0.0
RTL8187_LEDS,0.0
MIC_COSM,0.0
RTL_CARDS,0.0
NF_NAT_AMANDA,0.0
COPS,0.0
I40E_DCB,0.0
GREYBUS_ARCHE,0.0
NF_NAT_FTP,0.0
TYPEC_TCPM,0.0
I40EVF,0.0
NF_NAT_IRC,0.0
COPS_TANGENT,0.0
FM10K,0.0
BCM_VIDEOCORE,0.0
SYSTEM_EXTRA_CERTIFICATE,0.0
NF_NAT_SIP,0.0
IPDDP,0.0
COPS_DAYNA,0.0
SENSORS_LIS3_I2C,0.0
RT2X00_LIB,0.0
