feature,importance
MICROCODE_OLD_INTERFACE,4.984992669268989e-06
SCSI_CONSTANTS,2.097413561848287e-05
ADIS16203,3.0328019151192087e-06
MCB_PCI,9.763199311344682e-06
X86_MSR,6.854181516571036e-06
MTD_MT81xx_NOR,6.3767571016848446e-06
SCSI_LOGGING,5.798771659377038e-06
ADIS16209,1.1785219953552125e-06
MCB_LPC,3.1822936353269885e-05
X86_CPUID,9.825629568471985e-06
MTD_SPI_NOR_USE_4K_SECTORS,1.0887427230016004e-05
SCSI_SCAN_ASYNC,5.0507506370038615e-05
SOC_RENESAS,3.002854491038227e-07
HIGHMEM4G,2.001044573331817e-12
SPI_ASPEED_SMC,1.6635250643473586e-07
SCSI_SPI_ATTRS,1.755949904774646e-05
ADIS16240,1.9595241475720476e-06
RST_RCAR,2.7015048128120765e-07
NOHIGHMEM,0.0
SCSI_FC_ATTRS,1.6881519873255396e-05
AD7606,2.496599303156036e-06
HIGHMEM64G,0.0
SCSI_ISCSI_ATTRS,0.0003039829273764019
SPI_BCM63XX,3.876045976965237e-07
IIO_TRIGGERED_BUFFER,2.5906689492265016e-06
VMSPLIT_3G,4.474644375789704e-09
SPI_CADENCE_QUADSPI,2.773360647273362e-07
SCSI_SAS_LIBSAS,2.873969325499932e-05
SPI_BCM63XX_HSSPI,5.653358952803718e-07
AD7606_IFACE_PARALLEL,2.927442990103444e-05
SYSC_R8A7743,4.772076817530779e-07
SPI_FSL_QUADSPI,7.314561309280506e-07
SCSI_SAS_ATA,3.868311156375565e-06
SPI_BCM_QSPI,6.298970020114429e-07
AD7606_IFACE_SPI,5.404050919390199e-07
SYSC_R8A7745,3.758891878987576e-07
RAS_CEC,3.155584051405611e-06
VMSPLIT_2G,0.0
SPI_HISI_SFC,7.986845124272807e-07
ATA,1.2078467184612279e-05
AD7780,1.1605870720983082e-06
SYSC_R8A7779,7.691051272018251e-07
THUNDERBOLT,1.689848132792127e-05
SPI_NXP_SPIFI,2.351297728410409e-07
SCSI_SAS_HOST_SMP,1.4154122267825759e-05
SPI_BUTTERFLY,7.544534918121441e-06
SYSC_R8A7790,2.8562212225666475e-07
AD_SIGMA_DELTA,3.3273444461836088e-06
APPLE_PROPERTIES,1.3453526096951538e-06
SCSI_SRP_ATTRS,1.4769930115863553e-05
SPI_CADENCE,7.910246257896288e-06
AD7816,1.056347422018526e-06
SYSC_R8A7791,6.319765015624535e-07
ANDROID_BINDER_IPC,3.2750407202362624e-06
SPI_INTEL_SPI,1.8706234942949975e-06
SCSI_LOWLEVEL,1.5436436313910355e-05
SPI_CLPS711X,1.8876963966194305e-06
AD7192,1.8065697730463487e-06
SYSC_R8A7792,3.657671571193373e-07
SPI_INTEL_SPI_PLATFORM,8.710861201405143e-06
ISCSI_TCP,3.161815662373354e-06
AD7280,3.9876087439941955e-07
SYSC_R8A7794,4.315691310688313e-07
SPI_STM32_QUADSPI,3.9067436922392757e-07
ADT7316,1.3800795304628762e-06
SYSC_R8A7795,4.80956941457294e-07
ANDROID_BINDER_IPC_32BIT,0.0
CRYPTO_CRC32C,2.9905765915052366e-06
ISCSI_BOOT_SYSFS,1.3094402057935124e-05
SYSC_R8A7796,5.803770674116745e-07
BLK_DEV_PMEM,1.104445889375318e-05
MTD_UBI,4.393940287729491e-06
SCSI_CXGB3_ISCSI,9.801317070328834e-06
ADT7316_SPI,5.459709939176029e-07
SYSC_RCAR,2.641510714390181e-07
ND_BTT,4.2151291708028655e-06
ETHERNET,7.895371695022174e-05
SPI_DESIGNWARE,4.62694431343111e-06
ADT7316_I2C,1.3536471433374042e-06
ROCKCHIP_GRF,1.617237591431804e-06
BTT,9.798667243240288e-07
GENERIC_ISA_DMA,8.032655672192882e-06
TOUCHSCREEN_ELO,3.8018949309766955e-06
VIDEO_STM32_DCMI,2.9713882466326117e-08
HARDLOCKUP_CHECK_TIMESTAMP,1.3190077584400175e-08
HAVE_ACPI_APEI,2.3544025902335127e-06
ISA_DMA_API,1.1417459449767935e-05
TOUCHSCREEN_WACOM_W8001,5.464623619921759e-06
GENERIC_BUG,2.39828831585241e-06
HAVE_ACPI_APEI_NMI,9.034325896791603e-07
SOC_CAMERA,4.964194016063624e-07
BUG,4.373835061796153e-06
HAVE_ALIGNED_STRUCT_PAGE,1.3152887597037748e-06
TOUCHSCREEN_WACOM_I2C,3.6605069820339784e-06
SOC_CAMERA_SCALE_CROP,2.470209643673871e-07
GENERIC_BUG_RELATIVE_POINTERS,7.816357809550802e-07
SLUB,1.7302950013772835e-06
SOC_CAMERA_PLATFORM,4.79372643498747e-06
VIDEO_SH_MOBILE_CEU,2.702031958061008e-07
ARCH_MAY_HAVE_PC_FDC,2.5211016441094256e-06
HAVE_ARCH_HUGE_VMAP,1.954360517492567e-07
VIDEO_SAMSUNG_EXYNOS4_IS,4.0771533119961185e-10
